Nodes,Activity,measured,type
PAK2,1,1,Kinase
CAMK2A,-1,1,Kinase
CSNK2A1,1,1,Kinase
MAPKAPK2,-1,1,Kinase
PRKCE,-1,1,Kinase
PRKG1,-1,1,Kinase
MAPKAPK5,1,1,Kinase
CDC7,1,1,Kinase
MAPK8,1,1,Kinase
PDPK1,-1,1,Kinase
CDK2,1,1,Kinase
GSK3A,1,1,Kinase
CDK5,1,1,Kinase
CDK9,1,1,Kinase
AURKB,1,1,Kinase
SRPK2,-1,1,Kinase
MAPK10,1,1,Kinase
PPP3CA,1,1,Kinase
SOX2,-1,1,TF
E2F4,1,1,TF
GATA3,-1,1,TF
EGR1,-1,1,TF
ESR1,-1,1,TF
HNF4A,-1,1,TF
STAT1,1,1,TF
SPI1,1,1,TF
STAT5B,1,1,TF
RUNX3,1,1,TF
JUN,1,1,TF
FOXM1,1,1,TF
ELF3,-1,1,TF
TCF4,-1,1,TF
SP1,1,1,TF
MNT,-1,1,TF
MYC,1,1,TF
IRF3,-1,1,TF
STAT3,1,1,TF
MAX,-1,1,TF
IRF1,1,1,TF
NFKB1,1,1,TF
HIF1A,1,1,TF
FOSL1,1,1,TF
STAT2,1,1,TF
SP3,1,1,TF
RFX5,1,1,TF
TEAD1,-1,1,TF
NFYA,-1,1,TF
NRF1,-1,1,TF
TP63,-1,1,TF
FOXA2,-1,1,TF
SOX9,-1,1,TF
POU5F1,-1,1,TF
GATA6,-1,1,TF
IRF2,1,1,TF
KLF5,-1,1,TF
FLI1,1,1,TF
ETS2,1,1,TF
NR2F1,-1,1,TF
RBPJ,1,1,TF
SRF,-1,1,TF
MAFK,-1,1,TF
MXI1,-1,1,TF
ZEB1,-1,1,TF
IKZF1,1,1,TF
ASCL1,-1,1,TF
SREBF1,-1,1,TF
MYOD1,-1,1,TF
HSF1,-1,1,TF
CDX2,-1,1,TF
SREBF2,-1,1,TF
MAZ,-1,1,TF
ZEB2,1,1,TF
Hydrogen Peroxide___x____,-1,0,metabolite
L-Glutamine___c____,1,1,metabolite
L-Glutamine___e____,1,1,metabolite
L-Glutamine___m____,1,1,metabolite
Nitric Oxide___c____,1,0,metabolite
L-Citrulline___c____,1,1,metabolite
L-Citrulline___m____,1,1,metabolite
L-Citrulline___e____,1,1,metabolite
Deoxyadenosine Triphosphate___c____,1,0,metabolite
GLRX,-1,0,protein
NME1,1,0,Kinase
NOS3,1,0,metab_enzyme
PIK3CG,-1,0,Kinase
CTBP1,1,0,protein
O-Propanoylcarnitine___m____,-1,1,metabolite
O-Propanoylcarnitine___x____,-1,1,metabolite
Ethanolamine___c____,-1,1,metabolite
Uridine___c____,-1,1,metabolite
Succinate___m____,-1,1,metabolite
Hypoxanthine___x____,-1,1,metabolite
Gene2920__XDH,-1,0,metab_enzyme
Adenine___e____,-1,1,metabolite
Gene3007__NOS3,1,0,metab_enzyme
Hypoxanthine___c____,-1,1,metabolite
O-Propanoylcarnitine___c____,-1,1,metabolite
Isovaleryl Carnitine___c____,-1,1,metabolite
Isovaleryl Carnitine___e____,-1,1,metabolite
Succinate___c____,-1,1,metabolite
Inosine___c____,-1,1,metabolite
Creatinine___e____,-1,1,metabolite
O-Propanoylcarnitine___e____,-1,1,metabolite
Adenine___c____,-1,1,metabolite
Inosine___e____,-1,1,metabolite
Succinate___e____,-1,1,metabolite
Uridine___e____,-1,1,metabolite
Gene7316__4831_4830,1,0,metab_enzyme
Ethanolamine___e____,-1,1,metabolite
Hypoxanthine___e____,-1,1,metabolite
RCAN1,-1,0,protein
FYN,1,0,Kinase
SGK1,-1,0,Kinase
PRKCA,-1,0,Kinase
WWTR1,-1,0,protein
LATS1,1,0,Kinase
AKT1,-1,0,Kinase
PRKCD,-1,0,Kinase
CASP3,1,0,Kinase
MAPK3,-1,0,Kinase
MAPK1,1,0,Kinase
PTPRC,1,0,Kinase
CTNNB1,-1,0,Kinase
YAP1,1,0,Kinase
PAK1,-1,0,Kinase
STK4,1,0,Kinase
MDM2,-1,0,Kinase
HBEGF,-1,0,Kinase
ITCH,-1,0,protein
PPP1CC,1,0,Kinase
CHEK1,1,0,Kinase
SMARCA4,-1,0,TF
JAK1,1,0,Kinase
CDK4,-1,0,Kinase
RBL2,1,0,Kinase
SIRT1,1,0,Kinase
CDKN2D,1,0,protein
HDAC1,1,0,Kinase
NR2F2,-1,0,TF
HSPB2,-1,0,protein
ERBB4,-1,0,Kinase
APEX1,1,0,Kinase
NR1I2,-1,0,TF
BRCA1,-1,0,Kinase
PIAS1,-1,0,Kinase
NR4A1,-1,0,TF
NOTCH4,1,0,protein
DTX1,1,0,protein
PPP1R1A,-1,0,Kinase
CIITA,1,0,protein
Succinate___x____,-1,1,metabolite
Uridine___l____,-1,1,metabolite
Uridine___n____,-1,1,metabolite
Creatinine___c____,-1,1,metabolite
