Node1,Sign,Node2,Weight
L-Citrulline___c____, 1,NOS3,100
L-Citrulline___m____, 1,NOS3,100
L-Citrulline___e____, 1,NOS3,100
Hydrogen Peroxide___x____,-1,NOS3,100
NOS3, 1,Gene3007__NOS3,100
NME1, 1,Gene7316__4831_4830,100
Gene3007__NOS3, 1,Nitric Oxide___c____,100
Gene7316__4831_4830, 1,Deoxyadenosine Triphosphate___c____,100
RCAN1,-1,PPP3CA,100
FYN, 1,CDK5,100
CDK5, 1,MAPK10,100
CDK5, 1,STAT3,100
PRKCA,-1,NOS3,100
PRKCA,-1,GSK3A,100
PRKCE,-1,NOS3,100
PTPRC, 1,FYN,100
ITCH,-1,DTX1,100
PRKCD,-1,NOS3,100
SP1, 1,NOS3,100
PPP1CC, 1,NOS3,100
STAT1, 1,IRF1,100
MAPK10, 1,JUN,100
CHEK1, 1,AURKB,100
CDK2, 1,CHEK1,100
AKT1,-1,CHEK1,100
CHEK1, 1,CDC7,100
PRKCD,-1,FLI1,100
PRKCD,-1,GSK3A,100
FOXM1, 1,AURKB,100
MYC, 1,NME1,100
AKT1,-1,YAP1,100
LATS1, 1,YAP1,100
CDK2, 1,MYC,100
STAT1, 1,MYC,100
MAPK1, 1,MYC,100
MAPK8, 1,MYC,100
HDAC1, 1,FLI1,100
CASP3, 1,STK4,100
HSPB2,-1,CASP3,100
CASP3, 1,PAK2,100
MDM2,-1,NOTCH4,100
STAT3, 1,SPI1,100
JUN, 1,SPI1,100
CDK2, 1,CDKN2D,100
MAPK1, 1,CDK2,100
CDK2, 1,FOXM1,100
MAPK1, 1,NFKB1,100
SIRT1, 1,APEX1,100
MAPK8, 1,SIRT1,100
PPP1CC, 1,CDK9,100
AKT1,-1,GSK3A,100
AKT1,-1,STK4,100
STK4, 1,LATS1,100
MAPK8, 1,STK4,100
APEX1, 1,FOSL1,100
JAK1, 1,STAT1,100
STAT2, 1,STAT1,100
MAPK1, 1,STAT1,100
PIAS1,-1,STAT1,100
STAT3, 1,STAT1,100
MAPK8, 1,STAT1,100
STAT1, 1,IRF2,100
MAPK3,-1,CIITA,100
JAK1, 1,STAT2,100
JAK1, 1,STAT3,100
JAK1, 1,STAT5B,100
PTPRC, 1,JAK1,100
PAK1,-1,CTBP1,100
CTBP1, 1,ZEB2,100
CSNK2A1, 1,HDAC1,100
APEX1, 1,STAT3,100
HSPB2,-1,MAPK8,100
RBL2, 1,E2F4,100
NOTCH4, 1,RBPJ,100
MAPK1, 1,SP1,100
MAPK8, 1,SP1,100
CDK4,-1,RUNX3,100
CDK4,-1,RBL2,100
MAPK1, 1,SP3,100
SGK1,-1,MAPK1,100
MAPK1, 1,CSNK2A1,100
MAPK1, 1,HIF1A,100
MAPK1, 1,STAT3,100
MAPK1, 1,MAPKAPK5,100
MAPK1, 1,JUN,100
MAPK1, 1,CIITA,100
CSNK2A1, 1,PTPRC,100
PAK2, 1,JUN,100
MAPK8, 1,STAT3,100
CAMK2A,-1,ETS2,100
MAPK8, 1,JUN,100
PPP1R1A,-1,PPP1CC,100
PPP1CC, 1,IKZF1,100
CIITA, 1,RFX5,100
Hydrogen Peroxide___x____, 1,NR4A1,100
Hydrogen Peroxide___x____, 1,PRKCE,100
Hydrogen Peroxide___x____, 1,MAPK3,100
Hydrogen Peroxide___x____, 1,AKT1,100
Hydrogen Peroxide___x____, 1,HBEGF,100
Deoxyadenosine Triphosphate___c____,-1,GLRX,100
Nitric Oxide___c____,-1,EGR1,100
Hypoxanthine___x____, 1,Gene2920__XDH,100
Gene2920__XDH, 1,Hydrogen Peroxide___x____,100
PPP3CA,-1,PPP1R1A,100
CDK5,-1,PAK1,100
PRKCA, 1,PRKG1,100
