acetylcarnitine; 1, 18230, 5702196
adenine; 190, 750, 76219, 145773, 408562, 10510933, 10558676, 10855511, 10920592, 10997088, 11094673, 11116183, 11263523, 16211170, 29920062
choline; 305, 170746, 449688, 10884620
linoleic acid; 3931, 108228, 5280450, 5282457, 5460332, 5867807
myristic acid; 11005, 4075158
oleic acid; 965, 967, 91436, 445639, 637517, 5282759, 5460221, 5461071
palmitic acid; 985, 504166
palmitoleic acid; 4668, 445638, 5282744, 5282745, 5312419, 5461012
stearic acid; 5281, 516979, 3033836
KIV; 49, 10800
creatinine; 588, 87972, 44134640
3-hydroxybutyrate; 3541112, 6971058, 6971271
lactate; 612, 91435, 5460161, 5460179
urea; 1176, 98728, 214924, 636363, 701011, 24848088
sorbitol; 453, 5780, 6251, 11850, 82170, 90540, 120700, 136460, 151263, 171554, 1549089, 5460044, 5487627, 9855659, 9920559, 10012587, 11008545, 11480827, 11513915, 24848105
glucose; 206, 5793, 24749, 64689, 66370, 79025, 107526, 5282499, 10954115
glycine; 750, 26066, 134627, 167874, 450553, 2723970, 5257127, 6453332, 11105298, 11320906
glutamate; 611, 104813, 4525487, 5128032, 5460543, 5460544
succinate; 1110, 160419
fructose 6-phosphate; 603, 719, 69507, 440641, 21604863, 42609822
glucose 6-phosphate; 5958, 85187, 99058, 439958, 18603327, 23421199, 42609823
uric acid; 1175, 5315130, 44229235
inosine; 804, 6021, 6708742, 24847928, 45109804
nicotinamide/picolinamide;
hypoxanthine; 790, 408612, 23644335, 44134773
kynurenine; 846, 161166, 1152206, 10703635, 25245862
serine; 617, 5951, 71077, 6857549, 6857552, 6857581
aKG; 43, 51, 444591, 44246483
uridine; 1177, 6029, 18323, 29243, 94312, 151772, 165148, 167877, 170274, 453551, 466466, 638039, 643973, 6604651, 7059436, 7059437, 7059438, 7059439, 9859650, 10169826, 10377200, 10879431, 11010214, 11064619, 11107719, 11747043
d8-valine;
lysine; 866, 5962, 57449, 134478, 450558, 450564, 641599, 5242389, 10290870, 10313213, 10975638, 11378574
arginine; 232, 6322, 71070, 85880, 4473077, 5231987, 5287702
adenosine; 191, 21704, 60961, 96368, 102198, 160739, 171798, 447270, 447916, 448374, 448378, 450776, 453548, 466397, 638036, 644174, 5702004, 6420052, 6552084, 6560357, 6713976, 7000182, 7040251, 7048607, 10492175, 10539954, 10611929, 10754484, 10778501, 10890867, 10923602, 10924111, 10945502, 10978491, 11032861, 11097670, 11129405, 11807674
aspartate; 424, 5960, 4519554, 5460540, 5460541, 5460542
butyrylcarnitine; 213114, 213144, 439829
gluconate; 10690, 6419706
GSSG; 65359, 16219394, 25245992
taurine; 1123, 4068592
cytidine; 596, 6175, 5702244, 44134646, 45109772
palmitoylcarnitine; 461, 16902, 11953816
guanosine; 765, 6802, 16219429
alanine; 602, 5950, 71080, 7311724
GMP; 761, 6802, 6804, 1807035, 14443630
CMP; 314, 6076, 6131, 188955, 216878, 235303, 242452, 7058165, 16219074
S-Adenosyl-Methionine; 34755, 34756, 90473, 9954631, 11112916, 44229224
aconitate;
GDP; 730, 8977, 448405, 15374050, 16072214, 21604868, 24978488, 44134752
GABA; 119, 6992099
Carbamoyl phosphate; 278, 3423467
propionylcarnitine; 107738, 188824
isoleucine; 791, 6306, 76551, 99288, 25244449
carnitine; 85, 288, 10917, 10918, 160907, 450345, 451225, 2724480, 6914104, 10535084, 10559013, 10773398
argininosuccinate; 828, 439998, 25245925
AMP; 224, 6083, 6249, 11807, 20712, 60961, 65016, 76673, 83862, 440142, 445708, 445796, 446048, 4369011, 6338568, 11987739, 13363962, 15938965, 16218864
ornithine; 389, 6262, 71082, 134490, 449468, 450557, 6992088, 10773030, 10798303, 10822318
pyruvate; 1060, 107735
acetylcholine; 187, 6060, 75271, 93565, 5315629
glycerol; 753, 10176094, 10240764, 10844338, 11007821, 11182572, 11251965, 11412345, 11768502
proline; 614, 8988, 145742, 6971047
ethanolamine; 700, 444693
oleylcarnitine;
tyrosine; 1153, 6057, 71098, 4300518, 5460803, 5460807, 5460814, 5460822, 24848110
2-HG;
myristoylcarnitine; 6426854
isovalerylcarnitine; 169235, 6426851
GSH; 745, 5961, 65359, 124886, 446684, 448041, 448106, 448816, 5326969, 10924820, 20756463, 25245992, 42626782
tryptophan; 1148, 6305, 9060, 148495, 165635, 450586, 4099458, 5460840, 6923516, 10130455, 10608299, 10998177, 11063573
threonine; 205, 6288, 69435, 90624, 5460793, 5460797, 6995276
asparagine; 236, 6267, 439600, 5247114
citrate; 311, 31348, 83823, 2733526, 3033630
histidine; 773, 6274, 71083, 498056, 3651426, 4629346, 5288059, 5288559
fumarate; 444972, 5460307
glutamine; 738, 5961, 145815, 11789351, 25244553
citrulline; 833, 9750, 637599
N-acetylaspartate; 65065, 2042020, 4217221, 6941837
UMP; 1172, 6030, 65063, 169020, 444281, 446899, 446900, 448231, 449089, 1778309, 25023713, 42627140, 42627141
phenylalanine; 994, 6140, 71567, 6925665
leucine; 857, 6106, 439524, 575134, 5255803, 11658330
methionine; 876, 6137, 5460884, 5460889, 5460892, 6992087
S-(2-Succinyl)cysteine;
malate; 525, 160434, 222656, 5459792, 5459794
