#node	score1
NKX2	-4.37281925538614
Metab__702[c]	-5.75195941089287
Metab__702[x]	-6.13824750480988
Metab__702[e]	-5.45126912121627
Metab__1983[r]	-4.29914748756385
Metab__1983[c]	-5.88060390307276
Metab__1983[e]	-4.34918232401886
Metab__896[c]	-5.60077419957727
Metab__896[e]	-5.86847599662116
Metab__12035[m]	-1.06323591760075
Metab__12035[c]	-5.16777676561477
Metab__12035[e]	-3.3235181532353
Metab__6830[c]	-5.02469349626728
Metab__6830[m]	-5.94654233688925
Metab__6830[n]	-4.73051169298465
Metab__6830[e]	-4.2584731164804
Metab__5280453[c]	-4.62876640114801
Metab__5280453[n]	-5.74520744587888
Metab__5280453[e]	-5.37072092152597
Metab__5280453[m]	-6.03116897626268
Metab__3893[c]	-5.93882543990133
Metab__3893[e]	-5.06166422451445
Metab__3893[r]	-6.01502655750454
Metab__784[x]	-2.9258210160408
Metab__784[c]	-4.76794067257072
Metab__784[e]	-3.851745190076
Metab__784[m]	-5.12213257705004
Metab__784[l]	-5.8207051772933
Metab__784[n]	-5.93751202947433
Metab__784[r]	-1.99862297519594
Metab__6013[e]	-5.04997624597251
Metab__6013[r]	-5.89101980230019
Metab__6013[c]	-5.0631230094664
Metab__5757[e]	-5.83331332184296
Metab__5757[c]	-2.80492336915126
Metab__5757[r]	-5.99730300356341
Metab__5957[e]	-4.53782404933524
Metab__5957[n]	-4.2449436039003
Metab__5957[x]	-6.02605704345446
Metab__5957[g]	-5.46618227107071
Metab__5957[l]	-3.55447706878502
Metab__444795[e]	-5.94804826181277
Metab__444795[c]	-6.06677453599068
Metab__444795[n]	-4.7581354511476
Metab__444795[r]	-6.13343020824319
Metab__774[e]	-4.8776094644003
Metab__774[c]	-5.74401319778135
Metab__6076[e]	-5.68205662474478
Metab__6076[c]	-5.30041234032328
Metab__6076[g]	-5.10650084045953
Metab__3001028[e]	-4.97897745767575
Metab__3001028[c]	-5.40051779531646
Metab__3001028[r]	-5.64143487138603
Metab__446284[e]	-4.40457840633061
Metab__446284[c]	-5.30622905154102
Metab__446284[r]	-5.84274494873434
Metab__446284[l]	-5.78402604056041
Metab__271[c]	-4.42877102206114
Metab__271[e]	-5.97234727652741
Metab__264[c]	-4.77373086925853
Metab__264[m]	-5.1830225604144
Metab__264[e]	-4.57336481767041
Metab__177[m]	-3.84797833680087
Metab__177[c]	-6.03263639949285
Metab__177[r]	-6.0780612356073
Metab__177[x]	-4.3371495763052
Metab__177[e]	-5.99892249607647
Metab__985[e]	38.6683021406622
Metab__985[c]	38.6683021406622
Metab__985[r]	38.6683021406622
Metab__985[l]	38.6683021406622
Metab__985[x]	38.6683021406622
Metab__5994[c]	-5.40738311596407
Metab__5994[e]	-5.74601503104418
Metab__5994[r]	-6.04091529194545
Metab__5961[c]	-5.2547657330479
Metab__5961[e]	-5.52435386904227
Metab__5961[m]	-4.81718868932071
Metab__764[c]	-5.203867260361
Metab__764[e]	-3.06768855043984
Metab__145068[e]	-4.24521039794244
Metab__145068[c]	-4.93627664298475
Metab__778[c]	-3.65653947210736
Metab__778[e]	-5.32743722825622
Metab__5202[c]	-4.52683374650707
Metab__5202[e]	-5.4574330994334
Metab__681[c]	-6.06952800221561
Metab__681[e]	-5.85485490513761
Metab__977[m]	-5.35800814199351
Metab__977[x]	-6.02031704880234
Metab__977[n]	-6.03974422273181
Metab__977[e]	-6.1193732727551
Metab__6322[m]	-5.32252177066814
Metab__6322[e]	-5.74547563767973
Metab__13849[e]	-5.84927456635274
Metab__13849[c]	-5.61221414953565
Metab__13849[r]	-5.51447942914291
Metab__119[c]	38.6683021406622
Metab__119[m]	38.6683021406622
Metab__119[l]	38.6683021406622
Metab__119[e]	38.6683021406622
Metab__119[n]	38.6683021406622
Metab__199[m]	-5.97803550650532
Metab__199[c]	-5.16067437053298
Metab__199[e]	-5.62395407239088
Metab__222[m]	-5.99526612841885
Metab__222[e]	-5.50282837004368
Metab__222[c]	-5.72623448444832
Metab__222[n]	-4.83362678878045
Metab__222[x]	-5.55755743684589
Metab__222[r]	-1.71376153388266
Metab__144[c]	-5.02726786688486
Metab__144[e]	-5.75147311635854
Metab__5793[r]	-3.98302976325015
