Node1,Sign,Node2,Weight
NOS1,1,L-Citrulline_c_,100
PRKCA,-1,NOS1,100
TP53,-1,SLC38A2,100
CAMK2A,-1,NOS1,100
NFKB1,1,NOS1,100
SLC25A15,1,L-Citrulline_m_,100
L-Citrulline_c_,1,SLC25A15,100
L-Citrulline_c_,1,SLC7A6,100
SLC7A6,1,L-Citrulline_e_,100
SLC38A2,1,L-Glutamine_c_,100
L-Glutamine_c_,1,HMR_5101,100
HMR_5101,1,L-Glutamine_m_,100
Adenosine_c_,1,ADA,100
ADA,1,Inosine_c_,100
CKM,1,Phosphocreatine_c_,100
Phosphocreatine_c_,1,CRTNsyn,100
CRTNsyn,1,Creatinine_c_,100
UPP1,1,Uridine_c_,100
Alpha-D-Ribose 1-Phosphate_c_,1,UPP1,100
CPT1B,1,O-Propanoylcarnitine_c_,100
CPT1B,1,Isovaleryl Carnitine_c_,100
Adenosine_c_,1,PNP,100
PNP,1,Adenine_c_,100
PNP,1,Alpha-D-Ribose 1-Phosphate_c_,100
AHCYL1,1,Adenosine_c_,100
PLD2,1,Ethanolamine_c_,100
P4HA2,1,Succinate_c_,100
P4HA2,1,Succinate_m_,100
Adenine_c_,1,HMR_9797,100
HMR_9797,1,Hypoxanthine_c_,100
PDPK1,1,PRKCA,100
PRKCA,1,PLD2,100
AURKB,-1,TP53,100
EGR1,1,TP53,100
MAPK9,-1,RXRA,100
ESR1,1,RXRA,100
RARA,1,RXRA,100
TP53,1,P4HA2,100
MAPK8,-1,RXRA,100
NR2F1,1,RXRA,100
CTCF,1,AHCYL1,100
TP53,1,CKM,100
E2F4,-1,P4HA2,100
JUN,-1,TP53,100
RARA,1,PRKCA,100
RXRA,1,CPT1B,100
TFAP2A,1,PRKCA,100
SLC29A2,1,Adenine_e_,100
Adenine_c_,1,SLC29A2,100
Hypoxanthine_c_,1,HXANtx,100
HXANtx,1,Hypoxanthine_x_,100
O-Propanoylcarnitine_c_,1,SLC25A20,100
SLC25A20,1,O-Propanoylcarnitine_m_,100
SLC13A2,1,Succinate_e_,100
Succinate_c_,1,SLC13A2,100
Succinate_c_,1,SUCCtp,100
SUCCtp,1,Succinate_x_,100
SLC29A2,1,Uridine_e_,100
Uridine_c_,1,SLC29A2,100
SLC29A3,1,Uridine_l_,100
Uridine_c_,1,SLC29A3,100
Uridine_c_,1,Uritn,100
Uritn,1,Uridine_n_,100
r0809,1,Inosine_e_,100
Inosine_c_,1,r0809,100
Isovaleryl Carnitine_c_,1,IVCRNe,100
IVCRNe,1,Isovaleryl Carnitine_e_,100
CRTNtr,1,Creatinine_e_,100
Creatinine_c_,1,CRTNtr,100
O-Propanoylcarnitine_c_,1,HC02149td,100
HC02149td,1,O-Propanoylcarnitine_e_,100
ETHAt,1,Ethanolamine_e_,100
Ethanolamine_c_,1,ETHAt,100
SLC29A2,1,Hypoxanthine_e_,100
Hypoxanthine_c_,1,SLC29A2,100
