feature_A,feature_B,correlation
EIF2AK2,PRKCD,0.976190476190476
MAP3K5,VRK1,-0.976190476190476
MAP3K5,CDK7,-0.976190476190476
KSR1,EGFR,0.976190476190476
LATS2,STK38,0.976190476190476
PRKAA1,PRKAG2,0.976190476190476
PRKAG3,PRKAA1,0.976190476190476
PRKAG1,PRKAA1,0.976190476190476
PRKAB2,PRKAA1,0.976190476190476
RPS6KA3,RPS6KB1,0.976190476190476
HRAS,RPS6KB1,0.976190476190476
AGT,RPS6KB1,0.976190476190476
AGT,SYK,0.976190476190476
GABA,PRKCI,-0.976190476190476
INS,AKT2,0.976190476190476
RXRG,PRKCE,0.976190476190476
MEF2C,PTK2B,-0.976190476190476
RBPJ,PTK2B,-0.976190476190476
SPI1,PTK2B,-0.976190476190476
TAL1,PTK2B,-0.976190476190476
ZEB2,PTK2B,-1
TEAD4,PTK2B,-0.976190476190476
CDC7,UHMK1,0.976190476190476
MAPK8,UHMK1,0.976190476190476
octanoylcarnitine,CDK1,-0.976190476190476
ESRRA,MAPK8,-0.976190476190476
ZHX2,MKNK2,0.976190476190476
SSRP1,MKNK2,-0.976190476190476
GMP,PIM3,-0.976190476190476
MAP3K1,MAP3K5,0.976190476190476
PRKG2,CSNK2A2,-0.976190476190476
WEE1,CSNK2A2,0.976190476190476
F2,SIK1,0.976190476190476
INS,RET,0.976190476190476
DUSP8,RET,0.976190476190476
FOXP1,LIMK2,0.976190476190476
GATA2,LIMK2,0.976190476190476
ZNF644,LIMK2,0.976190476190476
PTPN2,JAK2,0.976190476190476
ATF1,PAK1,-0.976190476190476
ARNTL,PAK1,-0.976190476190476
BRAF,MAP2K2,0.976190476190476
NEUROD1,ATR,-0.976190476190476
KIV,ROCK2,-0.976190476190476
DUSP3,MAP3K14,0.976190476190476
PTPN7,MAP3K14,0.976190476190476
PIK3C3,WNK1,-0.976190476190476
PRKY,PRKX,0.976190476190476
GSH,CAMK2G,-0.976190476190476
ADP,CAMK2G,-0.976190476190476
KLF3,SRPK1,-0.976190476190476
CDKN1A,WEE1,0.976190476190476
hypoxanthine,AKT3,0.976190476190476
CDKN1A,MAP3K1,-0.976190476190476
DUSP16,DUSP3,0.976190476190476
DUSP16,PTPN7,0.976190476190476
NR1H2,AGT,0.976190476190476
IL2,INS,0.976190476190476
TFAP2A,FGF2,0.976190476190476
JUN1,HGF,0.976190476190476
ETS2,HGF,0.976190476190476
FOSL1,HGF,0.976190476190476
glutamine,RHOA,-0.976190476190476
DUSP8,IL2,0.976190476190476
DUSP8,IGF1,0.976190476190476
glutamine,ANGPT1,-0.976190476190476
palmitoleic acid,DIPK2A,-0.976190476190476
RARG,GCG,-0.976190476190476
ZNF384,AVP,0.976190476190476
ZNF740,AVP,0.976190476190476
FOXL2,CREB1,0.976190476190476
MAFB,RARB,0.976190476190476
