feature_A,feature_B,correlation
EGF,LCK,0.976190476190476
PTPN7,JAK2,0.976190476190476
TNF,JAK2,0.976190476190476
TSC22D4,CHEK2,-0.976190476190476
CSNK2A2,CSNK2A1,0.976190476190476
RPS6KB1,AKT2,0.976190476190476
MAP3K1,AKT2,0.976190476190476
AKT3,AKT2,0.976190476190476
CAMK4,MAPK14,-0.976190476190476
AVP,VRK1,0.976190476190476
IRF3,VRK1,-0.976190476190476
JUN,DYRK2,0.976190476190476
KLF9,DYRK2,-0.976190476190476
MAX,DYRK2,-0.976190476190476
STAT2,HIPK2,0.976190476190476
MAPK11,RPS6KB2,-1
phenylalanine,RPS6KB2,-0.976190476190476
threonine,PRKD1,-1
ULK3,MAPK8,0.976190476190476
HES1,MAPK8,0.976190476190476
CSNK2A2,PRKCD,-0.976190476190476
PRKX,LYN,0.976190476190476
IFNG,LYN,0.976190476190476
FOXA2,LYN,-0.976190476190476
RPS6KB1,PDK1,0.976190476190476
succinate,ROCK1,-0.976190476190476
PTEN,RPS6KB1,0.976190476190476
DUSP1,RPS6KA3,0.976190476190476
phenylalanine,RPS6KA3,-0.976190476190476
PDP1,RPS6KA2,-0.975900072948533
CUX1,ATR,0.976190476190476
PRKY,RPS6KA1,0.976190476190476
ANGPT1,CSNK1E,-1
GATAD1,CSNK1E,0.976190476190476
PRKY,MAP2K1,0.976190476190476
RAF1,PIM1,0.976190476190476
CEBPB,PIM1,-0.976190476190476
NFATC1,PIM1,-0.976190476190476
GATA6,PIM1,-0.976190476190476
NR1H3,PIM1,-0.976190476190476
LPA,MAP3K5,0.976190476190476
DEAF1,MAP3K5,0.976190476190476
TBP,MAP3K5,-0.976190476190476
ONECUT1,MAP3K5,-0.976190476190476
TP53,RAF1,-0.976190476190476
MEF2B,RAF1,-0.976190476190476
PTPN7,MAP3K8,0.976190476190476
TNF,MAP3K8,0.976190476190476
RUNX1,MAP2K6,-0.976190476190476
STAT1,MAP2K6,-1
NR4A1,MAP2K6,-0.976190476190476
MITF,MAP2K6,-0.976190476190476
RUNX2,MAP2K6,-0.976190476190476
NFATC1,MAP2K6,-0.976190476190476
MEF2C,MAP2K6,-0.976190476190476
GATA6,MAP2K6,-0.976190476190476
NR1H3,MAP2K6,-0.976190476190476
STAT5B,MAP2K6,-0.976190476190476
THAP11,MAP2K6,0.976190476190476
TWIST1,MAP2K6,-0.976190476190476
ROS1,PRKACA,0.976190476190476
DUSP3,MAP3K14,0.976190476190476
PTPN7,MAP3K14,0.976190476190476
TNF,MAP3K14,0.976190476190476
GATAD1,EIF2AK2,-0.976190476190476
CDK16,CDK19,0.976190476190476
CDK17,CDK19,0.976190476190476
phenylalanine,MAPK11,0.976190476190476
HRAS,MAP2K3,0.976190476190476
MAX,ROCK2,-0.976190476190476
MYCN,ROCK2,-0.976190476190476
SNAI2,ROCK2,-0.976190476190476
ULK3,NLK,0.976190476190476
PRDM1,WNK1,-0.976190476190476
ZNF644,WNK1,-0.976190476190476
d8-valine,PRKCI,-0.976190476190476
AKT1,MAP3K1,0.976190476190476
IGF1,MAP3K1,0.976190476190476
PRKY,PRKX,0.976190476190476
methionine,CAMK2B,-0.976190476190476
BDNF,RPS6KA4,0.976190476190476
CDK16,CDK20,0.976190476190476
CDK17,CDK20,0.976190476190476
PTPN11,MAP2K2,-0.976190476190476
PPP1CC,PPP1CB,0.976190476190476
NFYA,PPP1CB,-0.976190476190476
myristoylcarnitine,PPP1CC,0.976190476190476
PIM3,PPP2CA,-0.976190476190476
NR2F2,PPP2CA,0.976190476190476
STAT5A,PPP2CA,0.976190476190476
IKZF1,PPP2CA,0.976190476190476
PBK,PDP1,-0.975900072948533
GABA,PDP1,0.975900072948533
TEAD2,PRKACB,-0.976190476190476
DUSP16,PTPN7,0.976190476190476
JUNB,DUSP1,-0.976190476190476
GABA,PBK,-1
PIM2,PIM3,0.976190476190476
SP3,PIM3,-0.976190476190476
IKZF1,PIM2,-0.976190476190476
GATAD1,CDKL5,0.976190476190476
KLF3,PKM,0.976190476190476
CDK10,CDK16,0.976190476190476
CDK13,CDK16,0.976190476190476
CDK18,CDK16,0.976190476190476
CDK10,CDK17,0.976190476190476
CDK13,CDK17,0.976190476190476
CDK18,CDK17,0.976190476190476
E2F7,ULK3,0.976190476190476
FOXA2,PRKY,-0.976190476190476
MAFB,PRKY,-0.976190476190476
TSC22D4,PKD1,0.976190476190476
GKN2,AGT,0.976190476190476
GATA2,PMAIP1,-0.976190476190476
GATA3,PMAIP1,-0.976190476190476
MEF2A,PMAIP1,-0.976190476190476
NCOR1,GKN2,-0.976190476190476
GATAD1,ANGPT1,-0.976190476190476
BACH2,AHR,0.976190476190476
RUNX1,AHR,0.976190476190476
MITF,AHR,0.976190476190476
RUNX2,AHR,0.976190476190476
